Symbol,Security Name
AMBIKCO.NS,AMBIKA COTTON MILL LTD.
AMBUJACEM.NS,AMBUJA CEMENTS LTD
AMDIND.NS,AMD INDUSTRIES LIMITED
AMEYA.NS,AMEYA PRECISION ENG LTD
AMIABLE.NS,AMIABLE LOGISTICS (I) LTD
AMIORG.NS,AMI ORGANICS LIMITED
AMJLAND.NS,AMJ LAND HOLDINGS LIMITED
AMJUMBO.NS,A AND M JUMBO BAGS LTD
AMNPLST.NS,AMINES & PLASTICIZERS LTD
AMRUTANJAN.NS,AMRUTAJAN HEALTH LTD
ANANDRATHI.NS,ANAND RATHI WEALTH LTD
ANANTRAJ.NS,ANANT RAJ LIMITED
ANDHRAPAP.NS,ANDHRA PAPER LIMITED
ANDHRSUGAR.NS,ANDHRA SUGARS LTD
ANGELONE.NS,ANGEL ONE LIMITED
ANIKINDS.NS,ANIK INDUSTRIES LTD
ANLON.NS,ANLON TECHNOLOGY SOL LTD
ANMOL.NS,ANMOL INDIA LIMITED
ANNAPURNA.NS,ANNAPURNA SWADISHT LTD
ANTGRAPHIC.NS,ANTARCTICA LTD
ANUHPHR.NS,ANUH PHARMA LIMITED
ANUP.NS,THE ANUP ENGINEERING LTD
ANURAS.NS,ANUPAM RASAYAN INDIA LTD
APARINDS.NS,APAR INDUSTRIES LTD.
APCL.NS,ANJANI PORTLAND CEM LTD
APCOTEXIND.NS,APCOTEX INDUSTRIES LIMITE
APEX.NS,APEX FROZEN FOODS LIMITED
APLAPOLLO.NS,APL APOLLO TUBES LTD
APLLTD.NS,ALEMBIC PHARMA LTD
APOLLO.NS,APOLLO MICRO SYSTEMS LTD
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L
APOLLOPIPE.NS,APOLLO PIPES LIMITED
APOLLOTYRE.NS,APOLLO TYRES LTD
APOLSINHOT.NS,APOLLO SINDOORI HOTEL LTD
APS.NS,AUSTRALIAN PREM SOLAR I L
APTECHT.NS,APTECH LIMITED
APTUS.NS,APTUS VALUE HSG FIN I LTD
ARABIAN.NS,ARABIAN PETROLEUM LIMITED
ARCHIDPLY.NS,ARCHIDPLY IND. LTD
ARCHIES.NS,ARCHIES LTD
ARE&M.NS,AMARA RAJA ENERGY MOB LTD
ARENTERP.NS,RAJDARSHAN INDUSTRIES LTD
ARIES.NS,ARIES AGRO LTD.
ARIHANTACA.NS,ARIHANT ACADEMY LIMITED
ARIHANTCAP.NS,ARIHANT CAPITAL MKTS LTD
ARIHANTSUP.NS,ARIHANT SUPERSTRUCT LTD
ARISTO.NS,ARISTO BIO T AND LIFESC L
ARKADE.NS,ARKADE DEVELOPERS LIMITED
ARMANFIN.NS,ARMAN FIN SERV LTD
AROGRANITE.NS,ARO GRANITE IND. LTD.
ARROWGREEN.NS,ARROW GREENTECH LIMITED
ARSHIYA.NS,ARSHIYA LIMITED
ARTEMISMED.NS,ARTEMIS MED SERVICE LTD
ARTNIRMAN.NS,ART NIRMAN LIMITED
ARVEE.NS,ARVEE LABORATORIES I LTD
ARVIND.NS,ARVIND LIMITED
ARVINDFASN.NS,ARVIND FASHIONS LIMITED
ARVSMART.NS,ARVIND SMARTSPACES LTD
ASAHIINDIA.NS,ASAHI INDIA GLASS LIMITED
ASAHISONG.NS,ASAHI SONGWON COLOR LTD
ASAL.NS,AUTOMOTIVE STAMPINGS & AS
ASALCBR.NS,ASSO ALCOHOLS & BREW LTD
ASCOM.NS,ASCOM LEASIN & INVEST LTD
ASHAPURMIN.NS,ASHAPURA MINECHEM LTD
ASHIANA.NS,ASHIANA HOUSING LTD
ASHIMASYN.NS,ASHIMA LTD
ASHOKA.NS,ASHOKA BUILDCON LTD
ASHOKAMET.NS,ASHOKA METCAST LIMITED
ASHOKLEY.NS,ASHOK LEYLAND LTD
ASIANENE.NS,ASIAN ENERGY SERVICES LTD
ASIANHOTNR.NS,ASIAN HOTELS (NORTH) LTD
ASIANPAINT.NS,ASIAN PAINTS LIMITED
ASIANTILES.NS,ASIAN GRANITO IND. LTD.
ASKAUTOLTD.NS,ASK AUTOMOTIVE LIMITED
ASLIND.NS,ASL INDUSTRIES LIMITED
ASMS.NS,BARTRONICS INDIA LIMITED
ASPINWALL.NS,ASPINWALL & CO LTD
ASPIRE.NS,ASPIRE & INNOVATIVE ADV L
ASTEC.NS,ASTEC LIFESCIENCES LTD
ASTERDM.NS,ASTER DM HEALTHCARE LTD.
ASTRAL.NS,ASTRAL LIMITED
ASTRAMICRO.NS,ASTRA MICROWAVE LTD
ASTRAZEN.NS,ASTRAZENECA PHARMA IND LT
ASTRON.NS,ASTRON PAPER BORD MIL LTD
ATALREAL.NS,ATAL REALTECH LIMITED
ATAM.NS,ATAM VALVES LIMITED
ATFL.NS,AGRO TECH FOODS LIMITED
ATGL.NS,ADANI TOTAL GAS LIMITED
ATL.NS,ALLCARGO TERMINALS LTD
ATLANTAA.NS,ATLANTAA LIMITED
ATLASCYCLE.NS,ATLAS CYCLE (HARYANA) LTD
ATMASTCO.NS,ATMASTCO LIMITED
ATUL.NS,ATUL LTD
ATULAUTO.NS,ATUL AUTO LIMITED
AUBANK.NS,AU SMALL FINANCE BANK LTD
AURDIS.NS,AURANGABAD DISTILLERY LTD
AURIONPRO.NS,AURIONPRO SOLN LTD
AUROIMPEX.NS,AURO IMPEX & CHEMICALS L
AUROPHARMA.NS,AUROBINDO PHARMA LTD
AUSOMENT.NS,AUSOM ENTERPRISE LIMITED
AUTOAXLES.NS,AUTOMOTIVE AXLES LIMITED
AUTOIND.NS,AUTOLINE INDUSTRIES LTD
AVADHSUGAR.NS,AVADH SUG & ENERGY LTD
AVALON.NS,AVALON TECHNOLOGIES LTD
AVANTEL.NS,AVANTEL LIMITED
AVANTIFEED.NS,AVANTI FEEDS LIMITED
AVG.NS,AVG LOGISTICS LIMITED
AVL.NS,ADITYA VISION LIMITED
AVONMORE.NS,AVONMORE CAP&MGT SERV LTD
AVPINFRA.NS,AVP INFRACON LIMITED
AVROIND.NS,AVRO INDIA LIMITED
AVSL.NS,AVSL INDUSTRIES LIMITED
AVTNPL.NS,AVT NATURAL PRODUCTS LTD
AWFIS.NS,AWFIS SPACE SOLUTIONS LTD
AWHCL.NS,ANTONY WASTE HDG CELL LTD
AWL.NS,ADANI WILMAR LIMITED
AXISBANK.NS,AXIS BANK LIMITED
AXISCADES.NS,AXISCADES TECH LTD
AXITA.NS,AXITA COTTON LIMITED
AYMSYNTEX.NS,AYM SYNTEX LIMITED
AZAD.NS,AZAD ENGINEERING LIMITED
BABAFP.NS,BABA FOOD PROCESSING
BAFNAPH.NS,BAFNA PHARMACEUTICALS LTD
BAGFILMS.NS,B.A.G FILMS AND MEDIA LTD
BAHETI.NS,BAHETI RECYCLING IND LTD
BAIDFIN.NS,BAID FINSERV LIMITED
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED
BAJAJCON.NS,BAJAJ CONSUMER CARE LTD
BAJAJELEC.NS,BAJAJ ELECT.LTD
BAJAJFINSV.NS,BAJAJ FINSERV LTD.
BAJAJHCARE.NS,BAJAJ HEALTHCARE LIMITED
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LTD
BAJAJHIND.NS,BAJAJ HINDUSTHAN SUGAR LT
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVS LTD
BAJEL.NS,BAJEL PROJECTS LIMITED
BAJFINANCE.NS,BAJAJ FINANCE LIMITED
BALAJEE.NS,SHREE TIRUPATI BALAJEE L
BALAJITELE.NS,BALAJI TELEFILMS LTD.
BALAMINES.NS,BALAJI AMINES LIMITED
BALAXI.NS,BALAXI PHARMA LTD
BALKRISHNA.NS,BALKRISHNA PAPER MILLS L
BALKRISIND.NS,BALKRISHNA IND. LTD
BALMLAWRIE.NS,BALMER LAWRIE & CO LTD
BALPHARMA.NS,BAL PHARMA LTD.
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LTD
BALUFORGE.NS,BALU FORGE INDUSTRIES LTD
BANARBEADS.NS,BANARASBEADSLTD-ROLLSETT
BANARISUG.NS,BANNARI AMMAN SUGARS LTD
BANCOINDIA.NS,BANCO PRODUCTS (I) LTD
BANDHANBNK.NS,BANDHAN BANK LIMITED
BANG.NS,BANG OVERSEAS LTD.
BANKA.NS,BANKA BIOLOO LIMITED
BANKBARODA.NS,BANK OF BARODA
BANKINDIA.NS,BANK OF INDIA
BANSALWIRE.NS,BANSAL WIRE INDUSTRIES L
BANSWRAS.NS,BANSWARA SYNTEX LIMITED
BARBEQUE.NS,BARBEQUE NATION HOSP. LTD
BASF.NS,BASF INDIA LTD
BASILIC.NS,BASILIC FLY STUDIO LTD
BASML.NS,BANNARI AM SPIN MILL LTD.
BATAINDIA.NS,BATA INDIA LTD
BAWEJA.NS,BAWEJA STUDIOS LIMITED
BAYERCROP.NS,BAYER CROPSCIENCE LTD
BBL.NS,BHARAT BIJLEE LTD
BBOX.NS,BLACK BOX LIMITED
BBTC.NS,BOMBAY BURMAH TRADING COR
BBTCL.NS,B&B TRIPLEWALL CONT LTD
BCLIND.NS,BCL INDUSTRIES LIMITED
BCONCEPTS.NS,BRAND CONCEPTS LIMITED
BDL.NS,BHARAT DYNAMICS LIMITED
BEACON.NS,BEACON TRUSTEESHIP LTD
BEARDSELL.NS,BEARDSELL LIMITED
BECTORFOOD.NS,MRS BECTORS FOOD SPE LTD
BEDMUTHA.NS,BEDMUTHA INDUST LTD
BEL.NS,BHARAT ELECTRONICS LTD
BEML.NS,BEML LIMITED
BEPL.NS,BHANSALI ENG. POLYMERS LT
BERGEPAINT.NS,BERGER PAINTS (I) LTD
BESTAGRO.NS,BEST AGROLIFE LIMITED
BETA.NS,BETA DRUGS LIMITED
BEWLTD.NS,BEW ENGINEERING LIMITED
BFINVEST.NS,BF INVESTMENT LIMITED
BFUTILITIE.NS,BF UTILITIES LIMITED
BGRENERGY.NS,BGR ENERGY SYSTEMS LTD
BHAGCHEM.NS,BHAGIRADHA CHEM & INDS L
BHAGERIA.NS,BHAGERIA INDUSTRIES LTD
BHAGYANGR.NS,BHAGYANAGAR INDIA LIMITED
BHANDARI.NS,BHANDARI HOSIERY EXP LTD
BHARATFORG.NS,BHARAT FORGE LTD
BHARATGEAR.NS,BHARAT GEARS LTD.
BHARATRAS.NS,BHARAT RASAYAN LTD
BHARATWIRE.NS,BHARAT WIRE ROPES LTD.
BHARTIARTL.NS,BHARTI AIRTEL LIMITED
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED
BHEL.NS,BHEL
BIGBLOC.NS,BIGBLOC CONSTRUCTION LTD
BIKAJI.NS,BIKAJI FOODS INTERN LTD
BIL.NS,BHARTIYA INETRNATIONAL LT
BINANIIND.NS,BINANI INDUSTRIES LTD
BIOCON.NS,BIOCON LIMITED.
BIOFILCHEM.NS,BIOFIL CHEM & PHARMA LTD
BIRDYS.NS,GRILL SPLENDOUR SER LTD
BIRET.NS,BROOKFIELD INDIA RET
BIRLACABLE.NS,BIRLA CABLE LIMITED
BIRLACORPN.NS,BIRLA CORPORATION LTD
BIRLAMONEY.NS,ADITYA BIRLA MONEY LTD
BLACKBUCK.NS,ZINKA LOGISTICS SOL LTD
BLAL.NS,BEML LAND ASSETS LIMITED
BLBLIMITED.NS,BLB LIMITED
BLISSGVS.NS,BLISS GVS PHARMA LTD
BLKASHYAP.NS,B.L.KASHYAP & SON LTD
BLS.NS,BLS INTL SERVS LTD
BLSE.NS,BLS E-SERVICES LIMITED
BLUECHIP.NS,BLUE CHIP INDIA LIMITED
BLUECOAST.NS,BLUE COAST HOTELS LIMITED
BLUEDART.NS,BLUE DART EXPRESS LTD
BLUEJET.NS,BLUE JET HEALTHCARE LTD
BLUEPEBBLE.NS,BLUE PEBBLE LIMITED
BLUESTARCO.NS,BLUE STAR LIMITED
BMETRICS.NS,BOMBAY METRICS S C LTD
BODALCHEM.NS,BODAL CHEMICALS LTD
BOMDYEING.NS,BOMBAY DYEING & MFG. CO L
BOROLTD.NS,BOROSIL LIMITED
BORORENEW.NS,BOROSIL RENEWABLES LTD
BOROSCI.NS,BOROSIL SCIENTIFIC LTD
BOSCHLTD.NS,BOSCH LIMITED
BPCL.NS,BHARAT PETROLEUM CORP  LT
BPL.NS,BPL LTD
BRIGADE.NS,BRIGADE ENTER. LTD
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD
BRNL.NS,BHARAT ROAD NETWORK LTD
BROOKS.NS,BROOKS LAB LIMITED
BSE.NS,BSE LIMITED
BSHSL.NS,BOMBAY SUPER HYBRID SEEDS
BSL.NS,BSL LTD
BSOFT.NS,BIRLASOFT LIMITED
BTML.NS,BODHI TREE MULTIMEDIA LTD
BURNPUR.NS,BURNPUR CEMENT LTD.
BUTTERFLY.NS,BTRFLY GANDHI APPL LTD
BVCL.NS,BARAK VALLEY CEM. LTD.
BYKE.NS,THE BYKE HOSPITALITY LTD
CADSYS.NS,CADSYS (INDIA) LIMITED
CALSOFT.NS,CALIFORNIA SOFTWARE CO LT
CAMLINFINE.NS,CAMLIN FINE SCIENCES LTD
CAMPUS.NS,CAMPUS ACTIVEWEAR LIMITED
CAMS.NS,COMPUTER AGE MNGT SER LTD
CANARYS.NS,CANARYS AUTOMATIONS LTD
CANBK.NS,CANARA BANK
CANFINHOME.NS,CAN FIN HOMES LTD
CANTABIL.NS,CANTABIL RETAIL LTD
CAPACITE.NS,CAPACITE INFRAPROJECT LTD
CAPITALSFB.NS,CAPITAL SMALL FIN BANK L
CAPLIPOINT.NS,CAPLIN POINT LAB LTD.
CAPTRUST.NS,CAPITAL TRUST LIMITED
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LTD
CAREERP.NS,CAREER POINT LIMITED
CARERATING.NS,CARE RATINGS LIMITED
CARRARO.NS,CARRARO INDIA LIMITED
CARTRADE.NS,CARTRADE TECH LIMITED
CARYSIL.NS,CARYSIL LIMITED
CASTROLIND.NS,CASTROL INDIA LIMITED
CBAZAAR.NS,NET AVENUE TECHNOLOGIES L
CCCL.NS,CONS. CONST. CONSORT LTD
CCHHL.NS,COUNTRY CLUB HOSP HOL LTD
CCL.NS,CCL PRODUCTS (I) LTD
CDSL.NS,CENTRAL DEPO SER (I) LTD
CEATLTD.NS,CEAT LIMITED
CEIGALL.NS,CEIGALL INDIA LIMITED
CELEBRITY.NS,CELEBRITY FASHIONS LTD
CELLECOR.NS,CELLECOR GADGETS LIMITED
CELLO.NS,CELLO WORLD LIMITED
CELLPOINT.NS,CELL POINT (INDIA) LTD
CENTENKA.NS,CENTURY ENKA LTD
CENTEXT.NS,CENTURY EXTRUSIONS LTD
CENTRALBK.NS,CENTRAL BANK OF INDIA
CENTRUM.NS,CENTRUM CAPITAL LIMITED
CENTUM.NS,CENTUM ELECTRONICS LTD
CENTURYPLY.NS,CENTURY PLYBOARDS (I) LTD
CERA.NS,CERA SANITARYWARE LTD
CEREBRAINT.NS,CEREBRA INT TECH LTD
CESC.NS,CESC LTD
CEWATER.NS,CONCORD ENVIRO SYSTEMS L
CGCL.NS,CAPRI GLOBAL CAPITAL LTD
CGPOWER.NS,CG POWER AND IND SOL LTD
CGRAPHICS.NS,CREATIVE GRAPHICS S IND L
CHALET.NS,CHALET HOTELS LIMITED
CHAMBLFERT.NS,CHAMBAL FERTILIZERS LTD
CHAVDA.NS,CHAVDA INFRA LIMITED
CHEMBOND.NS,CHEMBOND CHEMICALS LTD
CHEMCON.NS,CHEMCON SPECIAL CHEM LTD
CHEMFAB.NS,CHEMFAB ALKALIS LIMITED
CHEMPLASTS.NS,CHEMPLAST SANMAR LIMITED
CHENNPETRO.NS,CHENNAI PETROLEUM CORP LT
CHEVIOT.NS,CHEVIOT COMPANY LIMITED
CHOICEIN.NS,CHOICE INTERNATIONAL LTD
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO
CHOLAHLDNG.NS,CHOLAMANDALAM FIN HOL LTD
CIGNITITEC.NS,CIGNITI TECHNOLOGIES LTD
CINELINE.NS,CINELINE INDIA LIMITED
CINEVISTA.NS,CINEVISTA LIMITED
CIPLA.NS,CIPLA LTD
CLEAN.NS,CLEAN SCIENCE & TECH LTD
CLEDUCATE.NS,CL EDUCATE LIMITED
CLOUD.NS,VARANIUM CLOUD LIMITED
CLSEL.NS,CHAMAN LAL SETIA EXP LTD
CLSL.NS,CROP LIFE SCIENCE LIMITED
CMMIPL.NS,CMM INFRAPROJECTS LIMITED
CMNL.NS,CHAMAN METALLICS LIMITED
CMRSL.NS,CYBER MEDIA RES & SER LTD
CMSINFO.NS,CMS INFO SYSTEMS LIMITED
COALINDIA.NS,COAL INDIA LTD
COASTCORP.NS,COASTAL CORPORATION LTD
COCHINSHIP.NS,COCHIN SHIPYARD LIMITED
COFORGE.NS,COFORGE LIMITED
COLPAL.NS,COLGATE PALMOLIVE LTD.
COMMITTED.NS,COMMITTED CARGO CARE LTD
COMPUSOFT.NS,COMPUCOM SOFTWARE LTD
COMSYN.NS,COMMERCIAL SYN BAGS LTD
CONCOR.NS,CONTAINER CORP OF IND LTD
CONCORDBIO.NS,CONCORD BIOTECH LIMITED
CONFIPET.NS,CONFIDENCE PETRO IND LTD.
CONSOFINVT.NS,CONSO. FIN. & HOLD. LTD.
CONTI.NS,CONTINENTAL SEED CHEM LTD
CONTROLPR.NS,CONTROL PRINT LIMITED
COOLCAPS.NS,COOL CAPS INDUSTRIES LTD
CORALFINAC.NS,CORAL INDIA FIN & HOUS LT
CORDSCABLE.NS,CORDS CABLE INDUS LTD.
COROMANDEL.NS,COROMANDEL INTERNTL. LTD
COSMOFIRST.NS,COSMO FIRST LIMITED
COUNCODOS.NS,COUNTRY CONDO S LIMITED
CPS.NS,C P S SHAPERS LIMITED
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LTD
CRAYONS.NS,CRAYONS ADVERTISING LTD
CREATIVE.NS,CREATIVE NEWTECH LIMITED
CREATIVEYE.NS,CREATIVE EYE LIMITED
CREDITACC.NS,CREDITACCESS GRAMEEN LTD
CREST.NS,CREST VENTURES LIMITED
CRISIL.NS,CRISIL LTD
CROMPTON.NS,CROMPT GREA CON ELEC LTD
CROWN.NS,CROWN LIFTERS LIMITED
CSBBANK.NS,CSB BANK LIMITED
CSLFINANCE.NS,CSL FINANCE LIMITED
CTE.NS,CAMBRIDGE TECH ENTER LTD
CUB.NS,CITY UNION BANK LTD
CUBEXTUB.NS,CUBEX TUBINGS LTD
CUMMINSIND.NS,CUMMINS INDIA LTD
CUPID.NS,CUPID LIMITED
CYBERMEDIA.NS,CYBER MEDIA (INDIA) LTD.
CYBERTECH.NS,CYBERTECH SYSTEMS & SOFTW
CYIENT.NS,CYIENT LIMITED
CYIENTDLM.NS,CYIENT DLM LIMITED
GVPTECH.NS,GVP INFOTECH LIMITED
HEUBACHIND.NS,HEUBACH COLORANTS IND LTD
JWL.NS,JUPITER WAGONS LIMITED
OSWALGREEN.NS,OSWAL GREENTECH LIMITED
RBA.NS,RESTAURANT BRAND ASIA LTD
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LTD
360ONE.NS,360 ONE WAM LIMITED
ACLGATI.NS,ALLCARGO GATI LIMITED
AGI.NS,AGI GREENPAC LIMITED
DABUR.NS,DABUR INDIA LTD
DALBHARAT.NS,DALMIA BHARAT LIMITED
DALMIASUG.NS,DALMIA BHARAT SUG IN LTD
DAMCAPITAL.NS,DAM CAPITAL ADVISORS LTD
DAMODARIND.NS,DAMODAR INDUSTRIES LTD
DANGEE.NS,DANGEE DUMS LIMITED
DATAMATICS.NS,DATAMATICS GLOBAL SER LTD
DATAPATTNS.NS,DATA PATTERNS INDIA LTD
DAVANGERE.NS,DAVANGERE SUGAR COMPANY L
DBCORP.NS,D.B.CORP LTD
DBEIL.NS,DEEPAK BUILDERS & ENG I L
DBL.NS,DILIP BUILDCON LIMITED
DBOL.NS,DHAMPUR BIO ORGANICS LTD
DBREALTY.NS,VALOR ESTATE LIMITED
DBSTOCKBRO.NS,DB (INT) STOCK BROKERS
DCAL.NS,DISHMAN CARBO AMCIS LTD
DCBBANK.NS,DCB BANK LIMITED
DCG.NS,DCG CABLES & WIRES LTD
DCI.NS,DC INFOTECH AND COMUN LTD
DCM.NS,DCM LTD
DCMFINSERV.NS,DCM FINANCIAL SERVICES LT
DCMNVL.NS,DCM NOUVELLE LIMITED
DCMSHRIRAM.NS,DCM SHRIRAM LIMITED
DCMSRIND.NS,DCM SHRIRAM IND LTD
DCW.NS,DCW LTD
DCXINDIA.NS,DCX SYSTEMS LIMITED
DDEVPLSTIK.NS,DDEV PLASTIKS IND LTD
DECCANCE.NS,DECCAN CEMENTS LIMITED
DEEDEV.NS,DEE DEVELOPMENT ENG LTD
DEEM.NS,DEEM ROLL TECH LIMITED
DEEPAKFERT.NS,DEEPAK FERTILIZERS & PETR
DEEPAKNTR.NS,DEEPAK NITRITE LTD
DEEPINDS.NS,DEEP INDUSTRIES LIMITED
DELAPLEX.NS,DELAPLEX LIMITED
DELHIVERY.NS,DELHIVERY LIMITED
DELPHIFX.NS,DELPHI WORLD MONEY LTD
DELTACORP.NS,DELTA CORP LIMITED
DELTAMAGNT.NS,DELTA MANUFACTURING LTD
DEN.NS,DEN NETWORKS LTD
DENEERS.NS,DE NEERS TOOLS LIMITED
DENORA.NS,DE NORA INDIA LIMITED
DENTALKART.NS,VASA DENTICITY LIMITED
DESTINY.NS,DESTINY LOGISTICS & I LTD
DEVIT.NS,DEV INFO TECHNOLOGY LTD
DEVYANI.NS,DEVYANI INTERNATIONAL LTD
